12/11/2019 14:03:59.701 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.728 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.728 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.728 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.728 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.728 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.748 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.748 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.748 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.748 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.748 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.748 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.748 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.748 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.748 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.748 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.768 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.768 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.768 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.768 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.768 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.778 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.778 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.778 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
12/11/2019 14:03:59.778 [VixenApplication.Setup.SetupPatchingGraphical] Adding filter to map, but it already exists 
